,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Souls
6264,20001214X44610,Accident,LAX83LA467,1983-09-14,"DAVENPORT, CA",United States,Fatal(1),Destroyed,Other,N206TB,De Havilland,B-206,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1.0
6265,20001214X44453,Accident,CHI83FA428,1983-09-14,"CHICAGO, IL",United States,Non-Fatal,Destroyed,Other,N521AC,Sikorsky,S-76A,No,2.0,Turbo Shaft,Executive/corporate,0.0,0.0,3.0,3.0,VMC,6.0
6269,20001214X44660,Accident,NYC83FA241,1983-09-14,"ATLANTIC CITY, NJ",United States,Non-Fatal,Substantial,Other,N27360,Piper,PA-31-350,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,10.0,IMC,10.0
6273,20001214X44524,Accident,FTW83FA430,1983-09-15,"GRAND CHENIER, LA",United States,Fatal(2),Destroyed,Other,N3456T,Mbb,BO-105S,No,2.0,Turbo Shaft,Business,2.0,0.0,0.0,0.0,VMC,2.0
6309,20001214X44525,Accident,FTW83FA431,1983-09-18,"NACOGDOCHES, TX",United States,Fatal(2),Destroyed,Other,N111QL,Rockwell,690A,No,2.0,Turbo Prop,Positioning,2.0,0.0,0.0,0.0,IMC,2.0
6324,20001214X44621,Accident,MIA83FA235,1983-09-19,"MIAMI, FL",United States,Non-Fatal,Destroyed,Other,N55ED,Beechcraft,65-80,No,2.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,2.0
6325,20001214X44611,Accident,LAX83LVM11,1983-09-19,"WATSONVILLE, CA",United States,Non-Fatal,Destroyed,Other,N18ER,Beechcraft,55,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1.0
6332,20001214X44439,Accident,ATL83LA373,1983-09-19,"MONROE, NC",United States,Non-Fatal,Substantial,Other,N401HW,Cessna,401A,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,2.0
6336,20001214X44675,Incident,NYC83IA252,1983-09-20,"BOSTON, MA",United States,Incident,Minor,Other,N50RP,De Havilland,DHC-6,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,12.0,VMC,12.0
6338,20001214X44665,Accident,NYC83FA249,1983-09-20,"MASSENA, NY",United States,Non-Fatal,Substantial,Other,N780A,Gates Learjet,35A,No,2.0,Turbo Jet,Executive/corporate,0.0,0.0,1.0,8.0,VMC,9.0
6341,20001214X44413,Accident,ATL83FAG12,1983-09-20,"JONESBORO, GA",United States,Non-Fatal,Substantial,Other,N452CC,Beechcraft,E18S,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,1.0
6342,20001214X44666,Accident,NYC83FA253,1983-09-21,"ARKVILLE, NY",United States,Fatal(1),Destroyed,Other,N6657R,Beechcraft,58,No,2.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,IMC,1.0
6350,20001214X44625,Incident,MIA83IA236,1983-09-22,"OPA-LOCKA, FL",United States,Incident,Minor,Other,N967,Beechcraft,E18S,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,6.0,VMC,6.0
6357,20001214X44690,Accident,NYC83LA255,1983-09-22,"POMONA, NJ",United States,Non-Fatal,Substantial,Other,N4148W,Beechcraft,B55,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,5.0
6399,20001214X44551,Accident,FTW83LA442,1983-09-26,"KERRVILLE, TX",United States,Non-Fatal,Substantial,Other,N2340X,Piper,PA-31T,No,2.0,Turbo Prop,Personal,0.0,0.0,0.0,7.0,VMC,7.0
6421,20001214X44622,Accident,MIA83FA242,1983-09-30,"MATACUMBE KEY, FL",United States,Fatal(1),Destroyed,Other,N70C,Rockwell,560E,No,2.0,Reciprocating,Unknown,1.0,1.0,0.0,0.0,VMC,2.0
6422,20001214X44462,Incident,CHI83IA446,1983-09-30,"FRANKFORT, IL",United States,Incident,Minor,Other,N6208Q,Cessna,401A,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,2.0
6428,20001214X44448,Accident,ATL83LA385,1983-09-30,"BIRMINGHAM, AL",United States,Non-Fatal,Substantial,Other,N31CE,Beechcraft,58,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,1.0
6466,20001214X44740,Accident,ATL84LA009,1983-10-03,"DENVER, NC",United States,Non-Fatal,Substantial,Other,N700M,Beechcraft,E18S,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,1.0
6470,20001214X44760,Accident,CHI84FA007,1983-10-04,"MALINTA, OH",United States,Fatal(1),Destroyed,Other,N7529Q,Cessna,320Q,No,2.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,VMC,1.0
6473,20001214X44746,Accident,ATL84LA015,1983-10-04,"MADISONVILLE, KY",United States,Non-Fatal,Substantial,Other,N4880B,Cessna,310,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,2.0
6477,20001214X44830,Incident,FTW84IA007,1983-10-05,"DFW AIRPORT, TX",United States,Incident,Minor,Other,N1972,Boeing,B727-023,No,3.0,Turbo Jet,Unknown,0.0,0.0,6.0,66.0,VMC,72.0
6482,20001214X44794,Accident,CHI84LA039,1983-10-05,"YPSILANTI, MI",United States,Non-Fatal,Substantial,Other,N47519,Piper,PA-32R-300,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,1.0
6483,20001214X44742,Accident,ATL84LA011,1983-10-05,"MONTGOMERY, AL",United States,Non-Fatal,Substantial,Other,N218RC,Beechcraft,58,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,3.0
6484,20001214X44942,Incident,NYC84IA002,1983-10-06,"BURLINGTON, VT",United States,Incident,Minor,Other,N96AV,Beechcraft,C99,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,10.0,VMC,10.0
6488,20001214X44774,Accident,CHI84LA011,1983-10-06,"AURORA, IL",United States,Non-Fatal,Substantial,Other,N7165Y,Piper,PA-30,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,1.0
6493,20001214X44902,Accident,MIA84FA004,1983-10-07,"WEST PALM BEACH, FL",United States,Non-Fatal,Destroyed,Other,YV323,Sikorsky,S-61N,No,2.0,Turbo Shaft,Ferry,0.0,1.0,3.0,0.0,VMC,4.0
6494,20001214X44712,Incident,ANC84IA002,1983-10-07,"JUNEAU, AK",United States,Incident,Minor,Other,N2808W,Boeing,727-247,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,87.0,IMC,87.0
6528,20001214X44798,Accident,DEN84FA004,1983-10-09,"CENTER, CO",United States,Non-Fatal,Substantial,Other,N770JW,Cessna,421C,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,3.0
6529,20001214X44860,Accident,FTW84LAMS1,1983-10-09,GULF OF MEXICO,GULF OF MEXICO,Fatal(1),Destroyed,Other,N4437T,Piper,PA-34-200,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1.0
6531,20001214X44904,Accident,MIA84FA006,1983-10-10,"CORNWELL, FL",United States,Fatal(2),Destroyed,Other,N6830Y,Piper,PA-23-250,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,2.0
6542,20001214X44795,Accident,DCA84AA002,1983-10-11,"PINCKNEYVILLE, IL",United States,Fatal(10),Destroyed,Other,N748LL,Hawker Siddeley,HS-748-2A,No,2.0,Turbo Prop,Unknown,10.0,0.0,0.0,0.0,IMC,10.0
6545,20001214X44797,Accident,DCA84RA002,1983-10-11,"FRANKFORT, GERMANY",Germany,Non-Fatal,Substantial,Other,N806FT,Boeing,747-200F,No,4.0,Unknown,Unknown,0.0,0.0,0.0,5.0,UNK,5.0
6546,20001214X44747,Accident,ATL84LA016,1983-10-11,"MIDDLESBORO, KY",United States,Non-Fatal,Substantial,Other,N3971A,Beechcraft,58,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,1.0
6553,20001214X44729,Accident,ATL84FKG01,1983-10-12,"EDISON, GA",United States,Non-Fatal,Substantial,Other,N62TG,Beechcraft,65-A80,No,2.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,2.0
6581,20001214X44951,Accident,NYC84LA010,1983-10-16,"SKANEATELES, NY",United States,Non-Fatal,Substantial,Other,N238G,Aero Commander,560E,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2.0
6592,20001214X44733,Incident,ATL84IA024,1983-10-17,"WASHINGTON, DC",United States,Incident,Minor,Other,N2111J,British Aircraft Corp. (Bac),1-11/204/AF,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,49.0,VMC,49.0
6602,20001214X44906,Incident,MIA84IA012,1983-10-19,"MIAMI, FL",United States,Incident,Minor,Other,N357PA,Boeing,727-21,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,73.0,VMC,73.0
6605,20001214X44799,Accident,DEN84FA008,1983-10-19,"PIERRE, SD",United States,Non-Fatal,Substantial,Other,N199CF,Convair,340/440,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,2.0
6608,20001214X44824,Accident,FTW84FA028,1983-10-20,"PATTERSON, LA",United States,Fatal(3),Destroyed,Other,N444PA,Mitsubishi,MU-2B,No,2.0,Turbo Prop,Executive/corporate,3.0,0.0,0.0,0.0,VMC,3.0
6614,20001214X44914,Accident,MIA84LA014,1983-10-21,"CLEWISTON, FL",United States,Non-Fatal,Substantial,Other,N54CG,Piper,PA-31-350,No,2.0,Reciprocating,Business,0.0,0.0,1.0,4.0,VMC,5.0
6615,20001214X44787,Accident,CHI84LA026,1983-10-21,"INDIANAPOLIS, IN",United States,Non-Fatal,Substantial,Other,N7536Y,Piper,PA-30,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,1.0
6618,20001214X44915,Accident,MIA84LA015,1983-10-21,GULF OF MEXICO,GULF OF MEXICO,Non-Fatal,Destroyed,Other,N6403Y,Piper,PA-23,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2.0
6619,20001214X44936,Accident,NYC84FHD01,1983-10-22,"CHESWOLD, DE",United States,Non-Fatal,Destroyed,Other,N2029Z,Beechcraft,58P,No,2.0,Reciprocating,Business,0.0,1.0,5.0,0.0,VMC,6.0
6639,20001214X44892,Accident,LAX84LA030,1983-10-23,"TWENTYNINE PALM, CA",United States,Non-Fatal,Substantial,Other,N52LL,Cessna,402B,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,1.0
